date,region,product,amount,units
2026-01-15,West,Starter,12000,24
2026-01-22,West,Pro,30000,15
2026-01-29,East,Starter,9000,18
2026-02-05,East,Pro,24000,12
2026-02-12,West,Starter,11000,22
2026-02-19,East,Enterprise,60000,3
2026-03-04,West,Pro,28000,14
2026-03-11,East,Starter,,16
2026-03-18,West,Enterprise,55000,2
2026-03-18,West,Enterprise,55000,2
2026-04-08,West,Starter,10000,20
2026-04-15,East,Pro,26000,13
2026-04-22,West,Pro,34000,17
2026-05-06,East,Enterprise,120000,5
2026-05-13,West,Starter,8000,16
2026-05-20,East,Starter,7000,14
2026-06-03,West,Enterprise,140000,6
2026-06-10,East,Pro,22000,11
2026-06-17,West,Pro,31000,15
2026-06-24,East,Starter,6000,12
